ranking,name,profile,position,age,nationality,flag,club,club_logo,market_value
24,Marc-André ter Stegen,https://img.a.transfermarkt.technology/portrait/small/74857-1599987750.jpg?lm=1,Goalkeeper,28,Germany,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,€75.00m
25,Pedri,https://img.a.transfermarkt.technology/portrait/small/683840-1609752733.jpg?lm=1,Attacking Midfield,18,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,€70.00m
26,Phil Foden,https://img.a.transfermarkt.technology/portrait/small/406635-1594986905.jpg?lm=1,Central Midfield,20,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,€70.00m
27,Lautaro Martínez,https://img.a.transfermarkt.technology/portrait/small/406625-1535015019.jpg?lm=1,Centre-Forward,23,Argentina,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,Inter Milan,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1617228474,€70.00m
28,Federico Valverde,https://img.a.transfermarkt.technology/portrait/small/369081-1581501132.jpg?lm=1,Central Midfield,22,Uruguay,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,Real Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,€70.00m
29,Rodri,https://img.a.transfermarkt.technology/portrait/small/357565-1556022958.jpg?lm=1,Defensive Midfield,24,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,€70.00m
30,Mikel Oyarzabal,https://img.a.transfermarkt.technology/portrait/small/351478-1599987229.jpg?lm=1,Left Winger,23,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Real Sociedad,https://tmssl.akamaized.net/images/wappen/verysmall/681.png?lm=1614795530,€70.00m
31,Kai Havertz,https://img.a.transfermarkt.technology/portrait/small/309400-1507380300.jpg?lm=1,Attacking Midfield,21,Germany,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,€70.00m
32,Marcos Llorente,https://img.a.transfermarkt.technology/portrait/small/282411-1603712126.jpg?lm=1,Central Midfield,26,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,€70.00m
33,Sergej Milinković-Savić,https://img.a.transfermarkt.technology/portrait/small/266302-1594714732.jpg?lm=1,Central Midfield,26,Serbia,https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569,SS Lazio,https://tmssl.akamaized.net/images/wappen/verysmall/398.png?lm=1601537785,€70.00m
34,Rúben Dias,https://img.a.transfermarkt.technology/portrait/small/258004-1572340728.jpg?lm=1,Centre-Back,23,Portugal,https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,€70.00m
