ranking,name,profile,position,age,nationality,flag,club,club_logo,market_value
56,Gianluigi Donnarumma,https://img.a.transfermarkt.technology/portrait/small/315858-1564832017.jpg?lm=1,Goalkeeper,22,Italy,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,AC Milan,https://tmssl.akamaized.net/images/wappen/verysmall/5.png?lm=1605166627,€60.00m
57,James Maddison,https://img.a.transfermarkt.technology/portrait/small/294057-1538664596.jpg?lm=1,Attacking Midfield,24,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Leicester City,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,€60.00m
58,Nicolò Barella,https://img.a.transfermarkt.technology/portrait/small/255942-1582023619.jpg?lm=1,Central Midfield,24,Italy,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Inter Milan,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1617228474,€60.00m
59,José María Giménez,https://img.a.transfermarkt.technology/portrait/small/250845-1447152624.jpg?lm=1,Centre-Back,26,Uruguay,https://tmssl.akamaized.net/images/flagge/verysmall/179.png?lm=1520611569,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,€60.00m
60,Fabinho,https://img.a.transfermarkt.technology/portrait/small/225693-1580133493.jpg?lm=1,Defensive Midfield,27,Brazil,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,€60.00m
61,Paulo Dybala,https://img.a.transfermarkt.technology/portrait/small/206050-1541076083.jpg?lm=1,Second Striker,27,Argentina,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,Juventus FC,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,€60.00m
62,Jack Grealish,https://img.a.transfermarkt.technology/portrait/small/203460-1581417066.jpg?lm=1,Left Winger,25,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Aston Villa,https://tmssl.akamaized.net/images/wappen/verysmall/405.png?lm=1469443765,€60.00m
63,Antoine Griezmann,https://img.a.transfermarkt.technology/portrait/small/125781-1564143733.jpg?lm=1,Second Striker,30,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,€60.00m
64,Paul Pogba,https://img.a.transfermarkt.technology/portrait/small/122153-1582114937.jpg?lm=1,Central Midfield,28,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,€60.00m
65,Marco Verratti,https://img.a.transfermarkt.technology/portrait/small/102558-1602849501.jpg?lm=1,Central Midfield,28,Italy,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Paris Saint-Germain,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,€60.00m
66,Koke,https://img.a.transfermarkt.technology/portrait/small/74229-1447152736.jpg?lm=1,Central Midfield,29,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,€60.00m
67,Robert Lewandowski,https://img.a.transfermarkt.technology/portrait/small/38253-1540568609.jpg?lm=1,Centre-Forward,32,Poland,https://tmssl.akamaized.net/images/flagge/verysmall/135.png?lm=1520611569,Bayern Munich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,€60.00m
68,Ederson,https://img.a.transfermarkt.technology/portrait/small/238223-1474545573.jpg?lm=1,Goalkeeper,27,Brazil,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,€56.00m
69,Alessandro Bastoni,https://img.a.transfermarkt.technology/portrait/small/315853-1511780680.jpg?lm=1,Centre-Back,21,Italy,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,Inter Milan,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1617228474,€55.00m
